LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE166 16 DE SEPTIEMBREROPASUDADERA,BOUTIQUE,166 16 DE SEPTIEMBRE,ROPA,SUDADERA,148,80068.12,34895
BOUTIQUE157 PLAZA ERMITAROPACHAMARRA,BOUTIQUE,157 PLAZA ERMITA,ROPA,CHAMARRA,32,17441.36,8513.74
BOUTIQUE151 SENDERO TOLUCAACCESORIOSPERFUME,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,PERFUME,80,8405.3,2800
BOUTIQUE130 TOLUCAACCESORIOSCALCETINES,BOUTIQUE,130 TOLUCA,ACCESORIOS,CALCETINES,15,1367.27,545
BOUTIQUE130 TOLUCAACCESORIOSPERFUME,BOUTIQUE,130 TOLUCA,ACCESORIOS,PERFUME,66,6860.46,2310
BOUTIQUE168 CENTRO SAN MIGUELROPAPLAYERA,BOUTIQUE,168 CENTRO SAN MIGUEL,ROPA,PLAYERA,95,26710.8,12039
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSPLANTILLA,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,PLANTILLA,28,1206.8,397.6
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSPERFUME,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,PERFUME,168,17594.24,5880
BOUTIQUE115 LA VILLAACCESORIOSCALCETINES,BOUTIQUE,115 LA VILLA,ACCESORIOS,CALCETINES,2,125.87,35
BOUTIQUE153 GRAND PLAZA TOLUCAROPAPLAYERA,BOUTIQUE,153 GRAND PLAZA TOLUCA,ROPA,PLAYERA,24,2581.02,2713
BOUTIQUE106 CONDESAACCESORIOSPLANTILLA,BOUTIQUE,106 CONDESA,ACCESORIOS,PLANTILLA,55,2354.56,781
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROROPASUDADERA,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ROPA,SUDADERA,113,60782.01,26621
BOUTIQUE147 SAN COSMEROPACHAMARRA,BOUTIQUE,147 SAN COSME,ROPA,CHAMARRA,27,15006.01,7037.74
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSBOLSA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,BOLSA,398,13861.09,9012
BOUTIQUE117 MIXCOACACCESORIOSLLAVERO,BOUTIQUE,117 MIXCOAC,ACCESORIOS,LLAVERO,58,1821.41,582.6
BOUTIQUE169 GRAN SURROPACHAMARRA,BOUTIQUE,169 GRAN SUR,ROPA,CHAMARRA,24,12934.88,6771.36
BOUTIQUE144 5 DE MAYOACCESORIOSLLAVERO,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,LLAVERO,32,1000.79,318.3
BOUTIQUE124 SATELITEACCESORIOSLIMPIEZA,BOUTIQUE,124 SATELITE,ACCESORIOS,LIMPIEZA,28,3939.7,1223.79
BOUTIQUE124 SATELITEROPAPLAYERA,BOUTIQUE,124 SATELITE,ROPA,PLAYERA,56,13706.13,6934
BOUTIQUE160 GRAN PATIO CHALCOROPASUDADERA,BOUTIQUE,160 GRAN PATIO CHALCO,ROPA,SUDADERA,99,50605.3,22920.5
BOUTIQUE106 CONDESAROPAPLAYERA,BOUTIQUE,106 CONDESA,ROPA,PLAYERA,66,17903.74,7805
BOUTIQUE172 COSMOPOLACCESORIOSPERFUME,BOUTIQUE,172 COSMOPOL,ACCESORIOS,PERFUME,130,13657.11,4550
BOUTIQUE158 SENDERO IXTAPALUCAACCESORIOSLIMPIEZA,BOUTIQUE,158 SENDERO IXTAPALUCA,ACCESORIOS,LIMPIEZA,58,8017.27,2485.68
BOUTIQUE106 CONDESAROPACHAMARRA,BOUTIQUE,106 CONDESA,ROPA,CHAMARRA,31,17038.76,8234.43
BOUTIQUE106 CONDESAACCESORIOSLIMPIEZA,BOUTIQUE,106 CONDESA,ACCESORIOS,LIMPIEZA,37,5267.27,1633.55
BOUTIQUE156 TOWN CENTER EL ROSARIOROPACHAMARRA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ROPA,CHAMARRA,79,39958.61,22935.74
BOUTIQUE159 TOWN CENTER ZUMPANGOROPAPLAYERA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ROPA,PLAYERA,98,26513.92,11538
BOUTIQUE124 SATELITEACCESORIOSLLAVERO,BOUTIQUE,124 SATELITE,ACCESORIOS,LLAVERO,32,1004.23,318.3
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOSLIMPIEZA,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,LIMPIEZA,31,4662.09,1464.45
BOUTIQUE115 LA VILLAROPAPLAYERA,BOUTIQUE,115 LA VILLA,ROPA,PLAYERA,43,11681.14,5121
BOUTIQUE104 CENTROACCESORIOSPLANTILLA,BOUTIQUE,104 CENTRO,ACCESORIOS,PLANTILLA,18,767.18,255.6
BOUTIQUE101 ARAGONROPAPLAYERA,BOUTIQUE,101 ARAGON,ROPA,PLAYERA,89,23645.8,10660
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSPERFUME,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,PERFUME,96,10065.68,3360
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSPLANTILLA,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,PLANTILLA,43,1836.93,610.6
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSLLAVERO,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,LLAVERO,34,1056,336.3
BOUTIQUE106 CONDESAACCESORIOSMOCHILA,BOUTIQUE,106 CONDESA,ACCESORIOS,MOCHILA,9,5841.35,2135
BOUTIQUE157 PLAZA ERMITAACCESORIOSLIMPIEZA,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,LIMPIEZA,30,4094.83,1274.21
BOUTIQUE154 METROBUS CHILPANCINGOACCESORIOSBOLSA,BOUTIQUE,154 METROBUS CHILPANCINGO,ACCESORIOS,BOLSA,30,258.6,600
BOUTIQUE151 SENDERO TOLUCAROPAPLAYERA,BOUTIQUE,151 SENDERO TOLUCA,ROPA,PLAYERA,63,16747.01,7413
BOUTIQUE169 GRAN SURROPASUDADERA,BOUTIQUE,169 GRAN SUR,ROPA,SUDADERA,93,50176.47,21753
