LLAVE,CANAL,CATEGORIA,TIPO_PROD,FABRICACION,PIEZAS,SUB_TOTAL,COSTO
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSLIMPIEZA,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,LIMPIEZA,23,3298.3,1055.81
BOUTIQUE128 TEXCOCOACCESORIOSLLAVERO,BOUTIQUE,128 TEXCOCO,ACCESORIOS,LLAVERO,20,687.88,250.7
BOUTIQUE104 CENTROROPACHAMARRA,BOUTIQUE,104 CENTRO,ROPA,CHAMARRA,24,12188.77,6908
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSLIMPIEZA,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,LIMPIEZA,55,7675.86,2419.33
BOUTIQUE166 16 DE SEPTIEMBREROPACHAMARRA,BOUTIQUE,166 16 DE SEPTIEMBRE,ROPA,CHAMARRA,58,31638.79,15066.55
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOSPLANTILLA,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,PLANTILLA,32,1361.96,454.4
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSMOCHILA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,MOCHILA,18,11948.22,4190
BOUTIQUE130 TOLUCAACCESORIOSMOCHILA,BOUTIQUE,130 TOLUCA,ACCESORIOS,MOCHILA,13,7832.72,3027
BOUTIQUE124 SATELITEACCESORIOSPLANTILLA,BOUTIQUE,124 SATELITE,ACCESORIOS,PLANTILLA,52,2223.96,738.4
BOUTIQUE154 METROBUS CHILPANCINGOACCESORIOSLLAVERO,BOUTIQUE,154 METROBUS CHILPANCINGO,ACCESORIOS,LLAVERO,4,155.16,56.2
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSPERFUME,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,PERFUME,161,16620.99,5635
BOUTIQUE172 COSMOPOLACCESORIOSLIMPIEZA,BOUTIQUE,172 COSMOPOL,ACCESORIOS,LIMPIEZA,40,5294.81,1687.58
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSMOCHILA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,MOCHILA,15,9445.73,3489
BOUTIQUE115 LA VILLAACCESORIOSLIMPIEZA,BOUTIQUE,115 LA VILLA,ACCESORIOS,LIMPIEZA,21,2922.44,904.51
BOUTIQUE147 SAN COSMEACCESORIOSMOCHILA,BOUTIQUE,147 SAN COSME,ACCESORIOS,MOCHILA,8,5310.32,1848
BOUTIQUE157 PLAZA ERMITAACCESORIOSLLAVERO,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,LLAVERO,21,655.12,199.1
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSBOLSA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,BOLSA,283,15828.24,7761.5
BOUTIQUE117 MIXCOACACCESORIOSLIMPIEZA,BOUTIQUE,117 MIXCOAC,ACCESORIOS,LIMPIEZA,43,6258.68,1948.1
BOUTIQUE147 SAN COSMEACCESORIOSLIMPIEZA,BOUTIQUE,147 SAN COSME,ACCESORIOS,LIMPIEZA,27,3756.89,1165.68
BOUTIQUE124 SATELITEACCESORIOSPERFUME,BOUTIQUE,124 SATELITE,ACCESORIOS,PERFUME,109,11210.53,3815
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSGORRA,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,GORRA,1,152.59,99
BOUTIQUE146 CHALCOACCESORIOSPLANTILLA,BOUTIQUE,146 CHALCO,ACCESORIOS,PLANTILLA,51,2189.48,724.2
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSLLAVERO,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,LLAVERO,51,1596.01,529.7
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSBOLSA,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,BOLSA,175,6201.6,4730
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOSCALCETINES,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,CALCETINES,8,1020.68,413
BOUTIQUE144 5 DE MAYOACCESORIOSPERFUME,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,PERFUME,81,8366.33,2835
BOUTIQUE144 5 DE MAYOROPASUDADERA,BOUTIQUE,144 5 DE MAYO,ROPA,SUDADERA,88,51106.44,20628.5
BOUTIQUE144 5 DE MAYOACCESORIOSLIMPIEZA,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,LIMPIEZA,51,7079.09,2239.76
BOUTIQUE144 5 DE MAYOACCESORIOSMOCHILA,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,MOCHILA,11,7056.09,2565
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSPERFUME,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,PERFUME,70,7231.15,2450
BOUTIQUE117 MIXCOACACCESORIOSMOCHILA,BOUTIQUE,117 MIXCOAC,ACCESORIOS,MOCHILA,14,7168.93,3234
BOUTIQUE154 METROBUS CHILPANCINGOROPACHAMARRA,BOUTIQUE,154 METROBUS CHILPANCINGO,ROPA,CHAMARRA,8,2637.92,2640
BOUTIQUE169 GRAN SURACCESORIOSLIMPIEZA,BOUTIQUE,169 GRAN SUR,ACCESORIOS,LIMPIEZA,48,6330.81,2018.81
BOUTIQUE124 SATELITEROPACHAMARRA,BOUTIQUE,124 SATELITE,ROPA,CHAMARRA,37,18956.97,10537.93
BOUTIQUE124 SATELITEACCESORIOSBOLSA,BOUTIQUE,124 SATELITE,ACCESORIOS,BOLSA,69,2973.41,1973.83
BOUTIQUE172 COSMOPOLACCESORIOSPLANTILLA,BOUTIQUE,172 COSMOPOL,ACCESORIOS,PLANTILLA,31,1301.62,440.2
BOUTIQUE169 GRAN SURACCESORIOSPLANTILLA,BOUTIQUE,169 GRAN SUR,ACCESORIOS,PLANTILLA,71,3051.48,1008.2
BOUTIQUE153 GRAND PLAZA TOLUCAACCESORIOSLIMPIEZA,BOUTIQUE,153 GRAND PLAZA TOLUCA,ACCESORIOS,LIMPIEZA,3,422.41,133.61
BOUTIQUE127 TENAYUCAACCESORIOSLIMPIEZA,BOUTIQUE,127 TENAYUCA,ACCESORIOS,LIMPIEZA,14,2015.53,636.12
BOUTIQUE117 MIXCOACACCESORIOSPLANTILLA,BOUTIQUE,117 MIXCOAC,ACCESORIOS,PLANTILLA,68,2922.18,965.6
BOUTIQUE153 GRAND PLAZA TOLUCAACCESORIOSPLANTILLA,BOUTIQUE,153 GRAND PLAZA TOLUCA,ACCESORIOS,PLANTILLA,1,43.1,14.2
BOUTIQUE157 PLAZA ERMITAACCESORIOSMOCHILA,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,MOCHILA,14,8894.78,3218
BOUTIQUE128 TEXCOCOACCESORIOSBOLSA,BOUTIQUE,128 TEXCOCO,ACCESORIOS,BOLSA,34,3670.67,1693.83
BOUTIQUE115 LA VILLAROPACHAMARRA,BOUTIQUE,115 LA VILLA,ROPA,CHAMARRA,14,6795.69,3754.12
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOSCALCETINES,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,CALCETINES,6,493.12,210
BOUTIQUE159 TOWN CENTER ZUMPANGOROPACHAMARRA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ROPA,CHAMARRA,51,27506.47,13605.24
BOUTIQUE114 INSURGENTESACCESORIOSMOCHILA,BOUTIQUE,114 INSURGENTES,ACCESORIOS,MOCHILA,8,4912.04,1832
BOUTIQUE147 SAN COSMEACCESORIOSPLANTILLA,BOUTIQUE,147 SAN COSME,ACCESORIOS,PLANTILLA,50,2155,710
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSMOCHILA,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,MOCHILA,18,11549.94,4158
BOUTIQUE151 SENDERO TOLUCAACCESORIOSPLANTILLA,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,PLANTILLA,29,1041.38,411.8
BOUTIQUE169 GRAN SURROPAPLAYERA,BOUTIQUE,169 GRAN SUR,ROPA,PLAYERA,94,24972.08,11029
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSPLANTILLA,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,PLANTILLA,50,2146.38,710
BOUTIQUE151 SENDERO TOLUCAACCESORIOSMOCHILA,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,MOCHILA,12,7832.72,2788
BOUTIQUE130 TOLUCAACCESORIOSLIMPIEZA,BOUTIQUE,130 TOLUCA,ACCESORIOS,LIMPIEZA,28,4301.74,1345.77
BOUTIQUE002 CEDIS TIENDASCALZADOARMADO,BOUTIQUE,002 CEDIS TIENDAS,CALZADO,ARMADO,0,0,0
BOUTIQUE002 CEDIS TIENDASCALZADOINYECTADO,BOUTIQUE,002 CEDIS TIENDAS,CALZADO,INYECTADO,47,11139,7414.4572
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSPERFUME,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,PERFUME,84,8750.14,2940
BOUTIQUE127 TENAYUCAROPACHAMARRA,BOUTIQUE,127 TENAYUCA,ROPA,CHAMARRA,19,4928.43,5617
BOUTIQUE127 TENAYUCAROPASUDADERA,BOUTIQUE,127 TENAYUCA,ROPA,SUDADERA,24,7994.38,6403
BOUTIQUE147 SAN COSMEACCESORIOSPERFUME,BOUTIQUE,147 SAN COSME,ACCESORIOS,PERFUME,89,9322.28,3115
BOUTIQUE128 TEXCOCOACCESORIOSMOCHILA,BOUTIQUE,128 TEXCOCO,ACCESORIOS,MOCHILA,10,6239.62,2326
BOUTIQUE160 GRAN PATIO CHALCOACCESORIOSLLAVERO,BOUTIQUE,160 GRAN PATIO CHALCO,ACCESORIOS,LLAVERO,23,675.82,207
BOUTIQUE130 TOLUCAACCESORIOSPLANTILLA,BOUTIQUE,130 TOLUCA,ACCESORIOS,PLANTILLA,41,1758.48,582.2
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOSBOLSA,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,BOLSA,183,5295.53,4080
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSPLANTILLA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,PLANTILLA,39,1672.28,553.8
BOUTIQUE158 SENDERO IXTAPALUCAACCESORIOSBOLSA,BOUTIQUE,158 SENDERO IXTAPALUCA,ACCESORIOS,BOLSA,357,14348.7,8575
BOUTIQUE114 INSURGENTESACCESORIOSPERFUME,BOUTIQUE,114 INSURGENTES,ACCESORIOS,PERFUME,55,5836.29,1925
BOUTIQUE170 FORUM BUENAVISTAROPAPANTS,BOUTIQUE,170 FORUM BUENAVISTA,ROPA,PANTS,0,0,0
BOUTIQUE114 INSURGENTESROPAPLAYERA,BOUTIQUE,114 INSURGENTES,ROPA,PLAYERA,28,8336.25,3257
BOUTIQUE127 TENAYUCAROPAPLAYERA,BOUTIQUE,127 TENAYUCA,ROPA,PLAYERA,139,12034.22,14506
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSBOLSA,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,BOLSA,200,7454.03,4804.33
BOUTIQUE167 CENTRAM MARTIN CARRERAACCESORIOSBOLSA,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ACCESORIOS,BOLSA,35,3387.4,1540
BOUTIQUE114 INSURGENTESACCESORIOSLLAVERO,BOUTIQUE,114 INSURGENTES,ACCESORIOS,LLAVERO,28,838.73,252
BOUTIQUE146 CHALCOACCESORIOSMOCHILA,BOUTIQUE,146 CHALCO,ACCESORIOS,MOCHILA,18,11018.91,4190
BOUTIQUE115 LA VILLAACCESORIOSPERFUME,BOUTIQUE,115 LA VILLA,ACCESORIOS,PERFUME,58,6005.27,2030
BOUTIQUE170 FORUM BUENAVISTAACCESORIOSBOLSA,BOUTIQUE,170 FORUM BUENAVISTA,ACCESORIOS,BOLSA,287,14493.51,7630
BOUTIQUE130 TOLUCAACCESORIOSBOLSA,BOUTIQUE,130 TOLUCA,ACCESORIOS,BOLSA,22,5085.32,2069
BOUTIQUE144 5 DE MAYOROPAPLAYERA,BOUTIQUE,144 5 DE MAYO,ROPA,PLAYERA,66,18531.95,7684
BOUTIQUE127 TENAYUCAACCESORIOSLLAVERO,BOUTIQUE,127 TENAYUCA,ACCESORIOS,LLAVERO,21,647.37,209.2
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSPLANTILLA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,PLANTILLA,70,2965.28,994
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSLIMPIEZA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,LIMPIEZA,51,7284.46,2314.46
BOUTIQUE176 TOWN CENTER TECAMACROPAPLAYERA,BOUTIQUE,176 TOWN CENTER TECAMAC,ROPA,PLAYERA,40,11559.6,4640
BOUTIQUE176 TOWN CENTER TECAMACCALZADOINYECTADO,BOUTIQUE,176 TOWN CENTER TECAMAC,CALZADO,INYECTADO,1011,330964.93,133072.9459
BOUTIQUE176 TOWN CENTER TECAMACCALZADOARMADO,BOUTIQUE,176 TOWN CENTER TECAMAC,CALZADO,ARMADO,2435,1471983.01,558453.1703
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSCALCETINES,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,CALCETINES,7,836.21,357
BOUTIQUE178 COACALCO POWER CENTERCALZADOARMADO,BOUTIQUE,178 COACALCO POWER CENTER,CALZADO,ARMADO,3497,1710400.72,781734.8891
BOUTIQUE178 COACALCO POWER CENTERCALZADOINYECTADO,BOUTIQUE,178 COACALCO POWER CENTER,CALZADO,INYECTADO,1727,437331.54,222485.9218
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSBOLSA,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,BOLSA,123,6890.05,3512
BOUTIQUE144 5 DE MAYOACCESORIOSPLANTILLA,BOUTIQUE,144 5 DE MAYO,ACCESORIOS,PLANTILLA,30,1293,426
BOUTIQUE177 PUERTA ARAGONCALZADOARMADO,BOUTIQUE,177 PUERTA ARAGON,CALZADO,ARMADO,3276,1850518.82,745842.0875
BOUTIQUE177 PUERTA ARAGONCALZADOINYECTADO,BOUTIQUE,177 PUERTA ARAGON,CALZADO,INYECTADO,1429,451510.08,188633.9858
BOUTIQUE146 CHALCOACCESORIOSCALCETINES,BOUTIQUE,146 CHALCO,ACCESORIOS,CALCETINES,4,375.87,95
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOSMOCHILA,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,MOCHILA,14,9160.3,3282
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSMOCHILA,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,MOCHILA,10,6505.14,2310
BOUTIQUE153 GRAND PLAZA TOLUCAACCESORIOSLLAVERO,BOUTIQUE,153 GRAND PLAZA TOLUCA,ACCESORIOS,LLAVERO,1,30.17,9
BOUTIQUE177 PUERTA ARAGONROPAPLAYERA,BOUTIQUE,177 PUERTA ARAGON,ROPA,PLAYERA,64,17576.95,7725
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSGORRA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,GORRA,1,150,123
BOUTIQUE177 PUERTA ARAGONROPASUDADERA,BOUTIQUE,177 PUERTA ARAGON,ROPA,SUDADERA,56,30146.68,13135
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSCUBREBOCAS,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,CUBREBOCAS,2,51.72,55.62
BOUTIQUE157 PLAZA ERMITAACCESORIOSBOLSA,BOUTIQUE,157 PLAZA ERMITA,ACCESORIOS,BOLSA,256,10743.05,6135
BOUTIQUE176 TOWN CENTER TECAMACROPASUDADERA,BOUTIQUE,176 TOWN CENTER TECAMAC,ROPA,SUDADERA,36,21485.91,8906.5
BOUTIQUE153 GRAND PLAZA TOLUCAACCESORIOSCUBREBOCAS,BOUTIQUE,153 GRAND PLAZA TOLUCA,ACCESORIOS,CUBREBOCAS,1,25.86,27.81
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSLLAVERO,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,LLAVERO,28,838.91,282.3
BOUTIQUE177 PUERTA ARAGONROPACHAMARRA,BOUTIQUE,177 PUERTA ARAGON,ROPA,CHAMARRA,22,11048.26,6205.43
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSBOLSA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,BOLSA,268,15207.89,7460
BOUTIQUE155 TOWN CENTER NICOLAS ROMEROACCESORIOSLIMPIEZA,BOUTIQUE,155 TOWN CENTER NICOLAS ROMERO,ACCESORIOS,LIMPIEZA,43,5884.49,1854.71
BOUTIQUE177 PUERTA ARAGONACCESORIOSPERFUME,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,PERFUME,83,8720.83,2905
BOUTIQUE146 CHALCOACCESORIOSBOLSA,BOUTIQUE,146 CHALCO,ACCESORIOS,BOLSA,301,10204.57,6440
BOUTIQUE161 GRAN PATIO ECATEPECACCESORIOSMOCHILA,BOUTIQUE,161 GRAN PATIO ECATEPEC,ACCESORIOS,MOCHILA,8,4779.28,1880
BOUTIQUE151 SENDERO TOLUCAACCESORIOSLIMPIEZA,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,LIMPIEZA,31,4413.8,1366.28
BOUTIQUE153 GRAND PLAZA TOLUCAROPAPANTS,BOUTIQUE,153 GRAND PLAZA TOLUCA,ROPA,PANTS,1,147.41,179
BOUTIQUE178 COACALCO POWER CENTERACCESORIOSBOLSA,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,BOLSA,211,7066.49,5064.5
BOUTIQUE176 TOWN CENTER TECAMACROPACHAMARRA,BOUTIQUE,176 TOWN CENTER TECAMAC,ROPA,CHAMARRA,28,11978.44,8873.62
BOUTIQUE167 CENTRAM MARTIN CARRERAACCESORIOSLLAVERO,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ACCESORIOS,LLAVERO,14,416.35,126
BOUTIQUE168 CENTRO SAN MIGUELACCESORIOSLIMPIEZA,BOUTIQUE,168 CENTRO SAN MIGUEL,ACCESORIOS,LIMPIEZA,25,3348.28,1059
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSBOLSA,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,BOLSA,147,5330.61,3360
BOUTIQUE150 LAS AMERICAS ECATEPECACCESORIOSGORRA,BOUTIQUE,150 LAS AMERICAS ECATEPEC,ACCESORIOS,GORRA,3,550,297
BOUTIQUE167 CENTRAM MARTIN CARRERAACCESORIOSMOCHILA,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ACCESORIOS,MOCHILA,12,7567.2,2772
BOUTIQUE124 SATELITEACCESORIOSCALCETINES,BOUTIQUE,124 SATELITE,ACCESORIOS,CALCETINES,4,320.7,66
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSLIMPIEZA,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,LIMPIEZA,30,3948.79,1271.82
BOUTIQUE178 COACALCO POWER CENTERACCESORIOSLIMPIEZA,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,LIMPIEZA,28,3855.18,1206.37
BOUTIQUE178 COACALCO POWER CENTERACCESORIOSLLAVERO,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,LLAVERO,27,802.53,243
BOUTIQUE178 COACALCO POWER CENTERROPAPLAYERA,BOUTIQUE,178 COACALCO POWER CENTER,ROPA,PLAYERA,87,12206.28,9657
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSPLANTILLA,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,PLANTILLA,19,818.9,269.8
BOUTIQUE177 PUERTA ARAGONACCESORIOSLLAVERO,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,LLAVERO,35,1075.78,335.2
BOUTIQUE156 TOWN CENTER EL ROSARIOACCESORIOSLIMPIEZA,BOUTIQUE,156 TOWN CENTER EL ROSARIO,ACCESORIOS,LIMPIEZA,47,6686.19,2090.22
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSMOCHILA,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,MOCHILA,9,5974.11,2103
BOUTIQUE159 TOWN CENTER ZUMPANGOACCESORIOSGORRA,BOUTIQUE,159 TOWN CENTER ZUMPANGO,ACCESORIOS,GORRA,1,250,99
BOUTIQUE177 PUERTA ARAGONACCESORIOSPLANTILLA,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,PLANTILLA,45,1895.55,639
BOUTIQUE151 SENDERO TOLUCAACCESORIOSCALCETINES,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,CALCETINES,10,1362.06,360
BOUTIQUE104 CENTROACCESORIOSBOLSA,BOUTIQUE,104 CENTRO,ACCESORIOS,BOLSA,17,2268.43,970
BOUTIQUE171 TLALNEPANTLA CENTROACCESORIOSGORRA,BOUTIQUE,171 TLALNEPANTLA CENTRO,ACCESORIOS,GORRA,4,421.55,392
BOUTIQUE177 PUERTA ARAGONACCESORIOSMOCHILA,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,MOCHILA,14,8330.56,3234
BOUTIQUE176 TOWN CENTER TECAMACACCESORIOSPERFUME,BOUTIQUE,176 TOWN CENTER TECAMAC,ACCESORIOS,PERFUME,51,5431.11,1785
BOUTIQUE177 PUERTA ARAGONACCESORIOSLIMPIEZA,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,LIMPIEZA,32,4432.76,1395.87
BOUTIQUE178 COACALCO POWER CENTERROPASUDADERA,BOUTIQUE,178 COACALCO POWER CENTER,ROPA,SUDADERA,30,16110.51,7514
BOUTIQUE178 COACALCO POWER CENTERACCESORIOSPERFUME,BOUTIQUE,178 COACALCO POWER CENTER,ACCESORIOS,PERFUME,66,6872.53,2310
BOUTIQUE167 CENTRAM MARTIN CARRERAACCESORIOSLIMPIEZA,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ACCESORIOS,LIMPIEZA,21,2984.49,935.59
BOUTIQUE178 COACALCO POWER CENTERROPACHAMARRA,BOUTIQUE,178 COACALCO POWER CENTER,ROPA,CHAMARRA,16,7982.77,4617.74
BOUTIQUE174 PARQUE ANTENASCALZADOARMADO,BOUTIQUE,174 PARQUE ANTENAS,CALZADO,ARMADO,2210,1375651.12,512783.2104
BOUTIQUE174 PARQUE ANTENASCALZADOINYECTADO,BOUTIQUE,174 PARQUE ANTENAS,CALZADO,INYECTADO,834,276733.59,111380.0483
BOUTIQUE174 PARQUE ANTENASROPAPLAYERA,BOUTIQUE,174 PARQUE ANTENAS,ROPA,PLAYERA,24,7095.63,2932
BOUTIQUE174 PARQUE ANTENASROPACHAMARRA,BOUTIQUE,174 PARQUE ANTENAS,ROPA,CHAMARRA,21,10844.35,5776.43
BOUTIQUE174 PARQUE ANTENASROPASUDADERA,BOUTIQUE,174 PARQUE ANTENAS,ROPA,SUDADERA,48,28703.01,11714
BOUTIQUE167 CENTRAM MARTIN CARRERAACCESORIOSPLANTILLA,BOUTIQUE,167 CENTRAM MARTIN CARRERA,ACCESORIOS,PLANTILLA,19,801.66,269.8
BOUTIQUE177 PUERTA ARAGONACCESORIOSCALCETINES,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,CALCETINES,4,525.86,155
BOUTIQUE173 PARQUE LINDAVISTACALZADOARMADO,BOUTIQUE,173 PARQUE LINDAVISTA,CALZADO,ARMADO,2992,1803440.57,693603.0724
BOUTIQUE173 PARQUE LINDAVISTAROPASUDADERA,BOUTIQUE,173 PARQUE LINDAVISTA,ROPA,SUDADERA,106,61990.88,24875.5
BOUTIQUE173 PARQUE LINDAVISTACALZADOINYECTADO,BOUTIQUE,173 PARQUE LINDAVISTA,CALZADO,INYECTADO,990,319878.82,133602.4306
BOUTIQUE173 PARQUE LINDAVISTAROPAPLAYERA,BOUTIQUE,173 PARQUE LINDAVISTA,ROPA,PLAYERA,73,22368.82,9067
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOSLIMPIEZA,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,LIMPIEZA,32,4520.69,1436.88
BOUTIQUE173 PARQUE LINDAVISTAROPACHAMARRA,BOUTIQUE,173 PARQUE LINDAVISTA,ROPA,CHAMARRA,38,21054.25,10509.43
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOSPLANTILLA,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,PLANTILLA,40,1706.76,568
BOUTIQUE101 ARAGONACCESORIOSBOLSA,BOUTIQUE,101 ARAGON,ACCESORIOS,BOLSA,225,7059.34,4710
BOUTIQUE166 16 DE SEPTIEMBREACCESORIOSBOLSA,BOUTIQUE,166 16 DE SEPTIEMBRE,ACCESORIOS,BOLSA,284,15010.19,7780
BOUTIQUE174 PARQUE ANTENASACCESORIOSBOLSA,BOUTIQUE,174 PARQUE ANTENAS,ACCESORIOS,BOLSA,257,10881.89,6190
BOUTIQUE177 PUERTA ARAGONACCESORIOSBOLSA,BOUTIQUE,177 PUERTA ARAGON,ACCESORIOS,BOLSA,200,10096.8,5260
BOUTIQUE147 SAN COSMEACCESORIOSBOLSA,BOUTIQUE,147 SAN COSME,ACCESORIOS,BOLSA,93,4747.39,2490
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOSBOLSA,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,BOLSA,148,5004.67,3170
BOUTIQUE173 PARQUE LINDAVISTAACCESORIOSPERFUME,BOUTIQUE,173 PARQUE LINDAVISTA,ACCESORIOS,PERFUME,50,5236.29,1750
BOUTIQUE172 COSMOPOLACCESORIOSBOLSA,BOUTIQUE,172 COSMOPOL,ACCESORIOS,BOLSA,219,9396.94,5431
BOUTIQUE169 GRAN SURACCESORIOSMOCHILA,BOUTIQUE,169 GRAN SUR,ACCESORIOS,MOCHILA,13,8098.23,3027
BOUTIQUE106 CONDESAACCESORIOSBOLSA,BOUTIQUE,106 CONDESA,ACCESORIOS,BOLSA,176,5696.93,3730
BOUTIQUE127 TENAYUCAACCESORIOSCUBREBOCAS,BOUTIQUE,127 TENAYUCA,ACCESORIOS,CUBREBOCAS,1,25.86,27.81
BOUTIQUE174 PARQUE ANTENASACCESORIOSMOCHILA,BOUTIQUE,174 PARQUE ANTENAS,ACCESORIOS,MOCHILA,15,9824.09,3441
BOUTIQUE146 CHALCOACCESORIOSGORRA,BOUTIQUE,146 CHALCO,ACCESORIOS,GORRA,1,258.62,123
BOUTIQUE151 SENDERO TOLUCAACCESORIOSBOLSA,BOUTIQUE,151 SENDERO TOLUCA,ACCESORIOS,BOLSA,26,4697.78,1780
BOUTIQUE174 PARQUE ANTENASACCESORIOSLLAVERO,BOUTIQUE,174 PARQUE ANTENAS,ACCESORIOS,LLAVERO,17,554.27,203.5
